migrationid,english,bangla,countryname
1,Australia,অস্ট্রেলিয়া,"Australia|অস্ট্রেলিয়া"
2,Bahrain,বাহরাইন,"Bahrain|বাহরাইন"
3,Brunei,ব্রুনাই,"Brunei|ব্রুনাই"
4,Canada,কানাডা,"Canada|কানাডা"
5,Cyprus,সাইপ্রাস,"Cyprus|সাইপ্রাস"
6,Federation of Russia,রাশিয়ার ফেডারেশন,"Federation of Russia|রাশিয়ার ফেডারেশন"
7,France,ফ্রান্স,"France|ফ্রান্স"
8,Germany,জার্মানি,"Germany|জার্মানি"
9,Greece,গ্রীস,"Greece|গ্রীস"
10,India,ভারত,"India|ভারত"
11,Iran,ইরান,"Iran|ইরান"
12,Iraq,ইরাক,"Iraq|ইরাক"
13,Italy,ইতালি,"Italy|ইতালি"
14,Japan,জাপান,"Japan|জাপান"
15,Jordan,জর্ডান,"Jordan|জর্ডান"
16,Kuwait,কুয়েত,"Kuwait|কুয়েত"
17,Laos,লাওস,"Laos|লাওস"
18,Liberia,লাইবেরিয়া,"Liberia|লাইবেরিয়া"
19,Libya,লিবিয়া,"Libya|লিবিয়া"
20,Malaysia,মালয়েশিয়া,"Malaysia|মালয়েশিয়া"
21,Maldives,মালদ্বীপ,"Maldives|মালদ্বীপ"
22,Mauritius,মরিশাস,"Mauritius|মরিশাস"
23,New Zealand,নিউজিল্যান্ড,"New Zealand|নিউজিল্যান্ড"
24,Oman,ওমান,"Oman|ওমান"
25,Pakistan,পাকিস্তান,"Pakistan|পাকিস্তান"
26,Poland,পোল্যান্ড,"Poland|পোল্যান্ড"
27,Qatar,কাতার,"Qatar|কাতার"
28,South Korea,দক্ষিণ কোরিয়া,"South Korea|দক্ষিণ কোরিয়া"
29,Saudi Arabia,সৌদি আরব,"Saudi Arabia|সৌদি আরব"
30,Singapore,সিঙ্গাপুর,"Singapore|সিঙ্গাপুর"
31,South Africa,দক্ষিন আফ্রিকা,"South Africa|দক্ষিন আফ্রিকা"
32,Spain,স্পেন,"Spain|স্পেন"
33,Sweden,সুইডেন,"Sweden|সুইডেন"
34,Switzerland,সুইজারল্যান্ড,"Switzerland|সুইজারল্যান্ড"
35,Taiwan,তাইওয়ান,"Taiwan|তাইওয়ান"
36,Turkey,তুরস্ক,"Turkey|তুরস্ক"
37,U.S.A,আমেরিকা,"U.S.A|আমেরিকা"
38,UAE,সংযুক্ত আরব আমিরাত,"UAE|সংযুক্ত আরব আমিরাত"
39,U.K,যুক্তরাজ্য,"U.K|যুক্তরাজ্য"
40,Yemen,ইয়েমেন,"Yemen|ইয়েমেন"
-96,Other(specify),অন্যান্য (নির্দিষ্ট করুন),"Other(specify)|অন্যান্য (নির্দিষ্ট করুন)"
