Variety,Group,Barcode Id,HH Id
Bhojon.white.coarse.,1,SPIA-BIHS-1388,Bhojon(white/coarse)
Bhojon.white.coarse..1,1,SPIA-BIHS-1927,Bhojon(white/coarse)
Bhojon.white.coarse..2,1,SPIA-BIHS-2248,Bhojon(white/coarse)
Bhojon.white.coarse..3,1,SPIA-BIHS-2365,Bhojon(white/coarse)
Bhojon.white.coarse..4,1,SPIA-BIHS-2368,Bhojon(white/coarse)
Bri.Dhan.100.1,1,SPIA-BIHS-1517,Bri Dhan 100
Bri.Dhan.74.2,1,SPIA-BIHS-3917,Bri Dhan 74
Bri.Dhan.89,1,SPIA-BIHS-1398,Bri Dhan 89
Bri.Dhan.89.2,1,SPIA-BIHS-2846,Bri Dhan 89
Bri.Dhan.89.3,1,SPIA-BIHS-0738,Bri Dhan 89
Bri.Dhan.89.4,1,SPIA-BIHS-1483,Bri Dhan 89
Bri.Dhan.92,1,SPIA-BIHS-1677,Bri Dhan 92
Bri.Dhan.92.1,1,SPIA-BIHS-1356,Bri Dhan 92
Bri.Dhan.92.4,1,SPIA-BIHS-2587,Bri Dhan 92
Bri.Dhan.92.5,1,SPIA-BIHS-1976,Bri Dhan 92
Bri.Dhan.BR.28..Boro..10,1,SPIA-BIHS-1574,Bri Dhan BR-28 (Boro)
Bri.Dhan.BR.28..Boro..11,1,SPIA-BIHS-3327,Bri Dhan BR-28 (Boro)
Bri.Dhan.BR.28..Boro..12,1,SPIA-BIHS-1025,Bri Dhan BR-28 (Boro)
Bri.Dhan.BR.28..Boro..21,1,SPIA-BIHS-2684,Bri Dhan BR-28 (Boro)
Bri.Dhan.BR.28..Boro..24,1,SPIA-BIHS-0533,Bri Dhan BR-28 (Boro)
Bri.Dhan.BR.28..Boro..27,1,SPIA-BIHS-1961,Bri Dhan BR-28 (Boro)
Bri.Dhan.BR.28..Boro..32,1,SPIA-BIHS-1659,Bri Dhan BR-28 (Boro)
Bri.Dhan.BR.28..Boro..33,1,SPIA-BIHS-2855,Bri Dhan BR-28 (Boro)
Bri.Dhan.BR.28..Boro..9,1,SPIA-BIHS-0509,Bri Dhan BR-28 (Boro)
Bri.Dhan.BR.29..Boro..10,1,SPIA-BIHS-1523,Bri Dhan BR-29 (Boro)
Bri.Dhan.BR.29..Boro..11,1,SPIA-BIHS-1784,Bri Dhan BR-29 (Boro)
Bri.Dhan.BR.29..Boro..14,1,SPIA-BIHS-1237,Bri Dhan BR-29 (Boro)
Bri.Dhan.BR.29..Boro..15,1,SPIA-BIHS-2701,Bri Dhan BR-29 (Boro)
Bri.Dhan.BR.29..Boro..20,1,SPIA-BIHS-1541,Bri Dhan BR-29 (Boro)
Bri.Dhan.BR.29..Boro..21,1,SPIA-BIHS-0464,Bri Dhan BR-29 (Boro)
Bri.Dhan.BR.29..Boro..23,1,SPIA-BIHS-1117,Bri Dhan BR-29 (Boro)
Bri.Dhan.BR.29..Boro..26,1,SPIA-BIHS-1959,Bri Dhan BR-29 (Boro)
Bri.Dhan.BR.29..Boro..27,1,SPIA-BIHS-2427,Bri Dhan BR-29 (Boro)
Bri.Dhan.BR.29..Boro..28,1,SPIA-BIHS-3121,Bri Dhan BR-29 (Boro)
Bri.Dhan.BR.29..Boro..7,1,SPIA-BIHS-2416,Bri Dhan BR-29 (Boro)
Bri.Dhan.BR.29..Boro..8,1,SPIA-BIHS-882,Bri Dhan BR-29 (Boro)
Bri.Dhan.BR.29..Boro..9,1,SPIA-BIHS-1204,Bri Dhan BR-29 (Boro)
Guti.rajshahi.lalshorNo.2,1,SPIA-BIHS-2538,Guti/rajshahi/lalshorNo
Guti.rajshahi.lalshorNo.3,1,SPIA-BIHS-0596,Guti/rajshahi/lalshorNo
Hira,1,SPIA-BIHS-1430,Hira
Hira.1,1,SPIA-BIHS-0031,Hira
Hira.10,1,SPIA-BIHS-3773,Hira
Hira.11,1,SPIA-BIHS-3936,Hira
Hira.13,1,SPIA-BIHS-1763,Hira
Hira.7,1,SPIA-BIHS-2457,Hira
Jira.1,1,SPIA-BIHS-2190,Jira
Jonok.Raj,1,SPIA-BIHS-997,Jonok Raj
Katari.5,1,SPIA-BIHS-2671,Katari
Katari.6,1,SPIA-BIHS-2433,Katari
Miniket.44,1,SPIA-BIHS-1825,Miniket
Miniket.46,1,SPIA-BIHS-3648,Miniket
Others,1,SPIA-BIHS-1372,Others
Others.1,1,SPIA-BIHS-1046,Others
Others.18,1,SPIA-BIHS-1114,Others
Others.19,1,SPIA-BIHS-1317,Others
Others.2,1,SPIA-BIHS-3223,Others
Others.20,1,SPIA-BIHS-1397,Others
Others.21,1,SPIA-BIHS-1415,Others
Others.22,1,SPIA-BIHS-3188,Others
Others.23,1,SPIA-BIHS-3564,Others
Others.3,1,SPIA-BIHS-2674,Others
Others.59,1,SPIA-BIHS-0576,Others
Others.60,1,SPIA-BIHS-2767,Others
Others.61,1,SPIA-BIHS-2828,Others
Others.62,1,SPIA-BIHS-851,Others
Others.63,1,SPIA-BIHS-1613,Others
Others.64,1,SPIA-BIHS-1420,Others
Others.65,1,SPIA-BIHS-1673,Others
Others.67,1,SPIA-BIHS-2987,Others
Others.68,1,SPIA-BIHS-3581,Others
Others.69,1,SPIA-BIHS-3937,Others
Others.73,1,SPIA-BIHS-1651,Others
Others.74,1,SPIA-BIHS-2581,Others
Others.82,1,SPIA-BIHS-1557,Others
Others.84,1,SPIA-BIHS-2803,Others
Bri.Dhan.100,2,SPIA-BIHS-1830,Bri Dhan 100
Bri.Dhan.89.8,2,SPIA-BIHS-2308,Bri Dhan 89
Bri.Dhan.BR.28..Boro..34,2,SPIA-BIHS-1934,Bri Dhan BR-28 (Boro)
Bri.Dhan.BR.28..Boro..35,2,SPIA-BIHS-2037,Bri Dhan BR-28 (Boro)
Bri.Dhan.BR.28..Boro..36,2,SPIA-BIHS-2980,Bri Dhan BR-28 (Boro)
Bri.Dhan.BR.28..Boro..37,2,SPIA-BIHS-3945,Bri Dhan BR-28 (Boro)
Bri.Dhan.BR.29..Boro..29,2,SPIA-BIHS-0578,Bri Dhan BR-29 (Boro)
Bri.Dhan.BR.29..Boro..30,2,SPIA-BIHS-1148,Bri Dhan BR-29 (Boro)
Bri.Dhan.BR.29..Boro..31,2,SPIA-BIHS-1965,Bri Dhan BR-29 (Boro)
Bri.Dhan.BR.29..Boro..32,2,SPIA-BIHS-2338,Bri Dhan BR-29 (Boro)
Jira.54,2,SPIA-BIHS-3996,Jira
Jira.55,2,SPIA-BIHS-2369,Jira
Katari,2,SPIA-BIHS-3833,Katari
Katari.1,2,SPIA-BIHS-3740,Katari
Katari.10,2,SPIA-BIHS-1206,Katari
Katari.11,2,SPIA-BIHS-1215,Katari
Katari.12,2,SPIA-BIHS-1414,Katari
Katari.13,2,SPIA-BIHS-1648,Katari
Katari.14,2,SPIA-BIHS-1658,Katari
Katari.15,2,SPIA-BIHS-1831,Katari
Katari.16,2,SPIA-BIHS-1835,Katari
Katari.17,2,SPIA-BIHS-1936,Katari
Katari.18,2,SPIA-BIHS-1956,Katari
Katari.19,2,SPIA-BIHS-1984,Katari
Katari.20,2,SPIA-BIHS-2004,Katari
Katari.21,2,SPIA-BIHS-2033,Katari
Katari.22,2,SPIA-BIHS-2067,Katari
Katari.23,2,SPIA-BIHS-2071,Katari
Katari.24,2,SPIA-BIHS-2073,Katari
Katari.25,2,SPIA-BIHS-2078,Katari
Katari.26,2,SPIA-BIHS-2080,Katari
Katari.27,2,SPIA-BIHS-2094,Katari
Katari.28,2,SPIA-BIHS-2150,Katari
Katari.29,2,SPIA-BIHS-2280,Katari
Katari.30,2,SPIA-BIHS-2362,Katari
Katari.31,2,SPIA-BIHS-2733,Katari
Katari.32,2,SPIA-BIHS-2843,Katari
Katari.33,2,SPIA-BIHS-2972,Katari
Katari.34,2,SPIA-BIHS-2973,Katari
Katari.35,2,SPIA-BIHS-3278,Katari
Katari.36,2,SPIA-BIHS-3383,Katari
Katari.37,2,SPIA-BIHS-3432,Katari
