a2migration_id,a2duration,a2migration_destination,a2migration_division,a2migrationdivision,a2migration_district,a2migrationdistrict,a2migration_country,a2migrationcountry,a2migration_country_oth,a2remittance_pyear,a2remittance_amount,a2remittance_inkind,PARENT_KEY,KEY,SET-OF-num_migration
1,10,0,30,Dhaka,48,Kishoreganj,,,,-98,,,uuid:53cbd682-6e8d-4bff-9a63-2c7038a35b05/module_a-module_a1-a1post_recruitment-a2hhroster[22],uuid:53cbd682-6e8d-4bff-9a63-2c7038a35b05/module_a-module_a1-a1post_recruitment-a2hhroster[22]/a2current_mem-num_migration[1],uuid:53cbd682-6e8d-4bff-9a63-2c7038a35b05/module_a-module_a1-a1post_recruitment-a2hhroster[22]/a2current_mem-num_migration
1,24,0,30,Dhaka,26,Dhaka,,,,0,,,uuid:9d3f6af1-f197-4d27-8a03-692c9a440b51/module_a-module_a1-a1post_recruitment-a2hhroster[2],uuid:9d3f6af1-f197-4d27-8a03-692c9a440b51/module_a-module_a1-a1post_recruitment-a2hhroster[2]/a2current_mem-num_migration[1],uuid:9d3f6af1-f197-4d27-8a03-692c9a440b51/module_a-module_a1-a1post_recruitment-a2hhroster[2]/a2current_mem-num_migration
1,24,0,30,Dhaka,26,Dhaka,,,,0,,,uuid:9d3f6af1-f197-4d27-8a03-692c9a440b51/module_a-module_a1-a1post_recruitment-a2hhroster[5],uuid:9d3f6af1-f197-4d27-8a03-692c9a440b51/module_a-module_a1-a1post_recruitment-a2hhroster[5]/a2current_mem-num_migration[1],uuid:9d3f6af1-f197-4d27-8a03-692c9a440b51/module_a-module_a1-a1post_recruitment-a2hhroster[5]/a2current_mem-num_migration
1,24,0,30,Dhaka,26,Dhaka,,,,0,,,uuid:9d3f6af1-f197-4d27-8a03-692c9a440b51/module_a-module_a1-a1post_recruitment-a2hhroster[6],uuid:9d3f6af1-f197-4d27-8a03-692c9a440b51/module_a-module_a1-a1post_recruitment-a2hhroster[6]/a2current_mem-num_migration[1],uuid:9d3f6af1-f197-4d27-8a03-692c9a440b51/module_a-module_a1-a1post_recruitment-a2hhroster[6]/a2current_mem-num_migration
1,24,0,30,Dhaka,26,Dhaka,,,,0,,,uuid:9d3f6af1-f197-4d27-8a03-692c9a440b51/module_a-module_a1-a1post_recruitment-a2hhroster[7],uuid:9d3f6af1-f197-4d27-8a03-692c9a440b51/module_a-module_a1-a1post_recruitment-a2hhroster[7]/a2current_mem-num_migration[1],uuid:9d3f6af1-f197-4d27-8a03-692c9a440b51/module_a-module_a1-a1post_recruitment-a2hhroster[7]/a2current_mem-num_migration
1,12,1,,,,,29,Saudi Arabia|সৌদি আরব,,1,280000,0,uuid:82afc004-1d5d-4d26-84a9-de0824b1733e/module_a-module_a1-a1post_recruitment-a2hhroster[6],uuid:82afc004-1d5d-4d26-84a9-de0824b1733e/module_a-module_a1-a1post_recruitment-a2hhroster[6]/a2current_mem-num_migration[1],uuid:82afc004-1d5d-4d26-84a9-de0824b1733e/module_a-module_a1-a1post_recruitment-a2hhroster[6]/a2current_mem-num_migration
1,60,0,30,Dhaka,26,Dhaka,,,,-98,,,uuid:17484535-681e-45cd-b7e2-dcc55b68d458/module_a-module_a1-a1post_recruitment-a2hhroster[3],uuid:17484535-681e-45cd-b7e2-dcc55b68d458/module_a-module_a1-a1post_recruitment-a2hhroster[3]/a2current_mem-num_migration[1],uuid:17484535-681e-45cd-b7e2-dcc55b68d458/module_a-module_a1-a1post_recruitment-a2hhroster[3]/a2current_mem-num_migration
1,60,0,30,Dhaka,26,Dhaka,,,,-98,,,uuid:17484535-681e-45cd-b7e2-dcc55b68d458/module_a-module_a1-a1post_recruitment-a2hhroster[4],uuid:17484535-681e-45cd-b7e2-dcc55b68d458/module_a-module_a1-a1post_recruitment-a2hhroster[4]/a2current_mem-num_migration[1],uuid:17484535-681e-45cd-b7e2-dcc55b68d458/module_a-module_a1-a1post_recruitment-a2hhroster[4]/a2current_mem-num_migration
1,12,0,20,Chittagong,15,Chittagong,,,,1,5000,10000,uuid:77915633-abfe-4aa6-a2a4-9880b934acae/module_a-module_a1-a1post_recruitment-a2hhroster[1],uuid:77915633-abfe-4aa6-a2a4-9880b934acae/module_a-module_a1-a1post_recruitment-a2hhroster[1]/a2current_mem-num_migration[1],uuid:77915633-abfe-4aa6-a2a4-9880b934acae/module_a-module_a1-a1post_recruitment-a2hhroster[1]/a2current_mem-num_migration
1,18,1,,,,,29,Saudi Arabia|সৌদি আরব,,1,150000,400000,uuid:092159ab-0fd4-4a0c-b6a4-b4774a8e4de3/module_a-module_a1-a1post_recruitment-a2hhroster[10],uuid:092159ab-0fd4-4a0c-b6a4-b4774a8e4de3/module_a-module_a1-a1post_recruitment-a2hhroster[10]/a2current_mem-num_migration[1],uuid:092159ab-0fd4-4a0c-b6a4-b4774a8e4de3/module_a-module_a1-a1post_recruitment-a2hhroster[10]/a2current_mem-num_migration
1,13,1,,,,,-96,Other(specify)|অন্যান্য (নির্দিষ্ট করুন),Duby,1,100000,0,uuid:f62c4b3b-30dc-4f67-a664-8c4880d145b7/module_a-module_a1-a1post_recruitment-a2hhroster[4],uuid:f62c4b3b-30dc-4f67-a664-8c4880d145b7/module_a-module_a1-a1post_recruitment-a2hhroster[4]/a2current_mem-num_migration[1],uuid:f62c4b3b-30dc-4f67-a664-8c4880d145b7/module_a-module_a1-a1post_recruitment-a2hhroster[4]/a2current_mem-num_migration
1,24,0,20,Chittagong,15,Chittagong,,,,0,,,uuid:e89d4b07-9b68-44d9-a17d-2cc7096634d0/module_a-module_a1-a1post_recruitment-a2hhroster[1],uuid:e89d4b07-9b68-44d9-a17d-2cc7096634d0/module_a-module_a1-a1post_recruitment-a2hhroster[1]/a2current_mem-num_migration[1],uuid:e89d4b07-9b68-44d9-a17d-2cc7096634d0/module_a-module_a1-a1post_recruitment-a2hhroster[1]/a2current_mem-num_migration
