c1pesticide_id,c1pesticide_name,c1pesticide_dosage,c1pesticide_unit,c1pesticide_n_timee,c1pesticideuse_reason,PARENT_KEY,KEY,SET-OF-c1pesticide_repeat
1,Nijor,30,2,1,3,uuid:86449edd-a0c2-4de7-bd60-f52539648150/module_c1[1],uuid:86449edd-a0c2-4de7-bd60-f52539648150/module_c1[1]/c1season_group-c1pesticide_repeat[1],uuid:86449edd-a0c2-4de7-bd60-f52539648150/module_c1[1]/c1season_group-c1pesticide_repeat
1,Donpin,100,1,2,2,uuid:86449edd-a0c2-4de7-bd60-f52539648150/module_c1[2],uuid:86449edd-a0c2-4de7-bd60-f52539648150/module_c1[2]/c1season_group-c1pesticide_repeat[1],uuid:86449edd-a0c2-4de7-bd60-f52539648150/module_c1[2]/c1season_group-c1pesticide_repeat
2,Poraton,250,2,1,2,uuid:86449edd-a0c2-4de7-bd60-f52539648150/module_c1[2],uuid:86449edd-a0c2-4de7-bd60-f52539648150/module_c1[2]/c1season_group-c1pesticide_repeat[2],uuid:86449edd-a0c2-4de7-bd60-f52539648150/module_c1[2]/c1season_group-c1pesticide_repeat
1,Donpin,100,1,1,2,uuid:86449edd-a0c2-4de7-bd60-f52539648150/module_c1[4],uuid:86449edd-a0c2-4de7-bd60-f52539648150/module_c1[4]/c1season_group-c1pesticide_repeat[1],uuid:86449edd-a0c2-4de7-bd60-f52539648150/module_c1[4]/c1season_group-c1pesticide_repeat
1,Kakra marar osud,10,2,1,1,uuid:25a9fdd0-d7e7-49b0-9d4b-108a6ad127a1/module_c1[1],uuid:25a9fdd0-d7e7-49b0-9d4b-108a6ad127a1/module_c1[1]/c1season_group-c1pesticide_repeat[1],uuid:25a9fdd0-d7e7-49b0-9d4b-108a6ad127a1/module_c1[1]/c1season_group-c1pesticide_repeat
2,Poka marar osud,10,1,1,1,uuid:25a9fdd0-d7e7-49b0-9d4b-108a6ad127a1/module_c1[1],uuid:25a9fdd0-d7e7-49b0-9d4b-108a6ad127a1/module_c1[1]/c1season_group-c1pesticide_repeat[2],uuid:25a9fdd0-d7e7-49b0-9d4b-108a6ad127a1/module_c1[1]/c1season_group-c1pesticide_repeat
1,Kakra marar osud,10,2,1,1,uuid:25a9fdd0-d7e7-49b0-9d4b-108a6ad127a1/module_c1[4],uuid:25a9fdd0-d7e7-49b0-9d4b-108a6ad127a1/module_c1[4]/c1season_group-c1pesticide_repeat[1],uuid:25a9fdd0-d7e7-49b0-9d4b-108a6ad127a1/module_c1[4]/c1season_group-c1pesticide_repeat
1,Jhilik,200,2,1,1,uuid:44db6fd1-d4ec-4c2c-9927-9daebd741aa5/module_c1[1],uuid:44db6fd1-d4ec-4c2c-9927-9daebd741aa5/module_c1[1]/c1season_group-c1pesticide_repeat[1],uuid:44db6fd1-d4ec-4c2c-9927-9daebd741aa5/module_c1[1]/c1season_group-c1pesticide_repeat
1,Jhilik,150,2,1,1,uuid:44db6fd1-d4ec-4c2c-9927-9daebd741aa5/module_c1[4],uuid:44db6fd1-d4ec-4c2c-9927-9daebd741aa5/module_c1[4]/c1season_group-c1pesticide_repeat[1],uuid:44db6fd1-d4ec-4c2c-9927-9daebd741aa5/module_c1[4]/c1season_group-c1pesticide_repeat
1,Karety,90,2,2,3,uuid:2e9da894-b877-4b74-bcac-9fc4fe3ec51d/module_c1[1],uuid:2e9da894-b877-4b74-bcac-9fc4fe3ec51d/module_c1[1]/c1season_group-c1pesticide_repeat[1],uuid:2e9da894-b877-4b74-bcac-9fc4fe3ec51d/module_c1[1]/c1season_group-c1pesticide_repeat
