d1index,d1cgiartech_id,d1cgiartech_name,d1cgiartech_know,d1cgiartech_usage,d1cgiartech_owner,d1cgiartech_past,d1cgiartech_startyear,d1cgiartech_stopyear,d1tech_stopreason,d1tech_stopreason_1,d1tech_stopreason_2,d1tech_stopreason_3,d1tech_stopreason_4,d1tech_stopreason_5,d1tech_stopreason_6,d1tech_stopreason_7,d1tech_stopreason_8,d1tech_stopreason_9,d1tech_stopreason_10,d1cgiartech_introyear,PARENT_KEY,KEY,SET-OF-module_d1
1,1,Axial Flow Pump,1,0,,1,2000,2009,4,0,0,0,1,0,0,0,0,0,0,2000,uuid:53cbd682-6e8d-4bff-9a63-2c7038a35b05,uuid:53cbd682-6e8d-4bff-9a63-2c7038a35b05/module_d-module_d1[1],uuid:53cbd682-6e8d-4bff-9a63-2c7038a35b05/module_d-module_d1
2,2,Alternate Wetting and Drying (ম্যাজিক পাইপ),0,,,,,,,,,,,,,,,,,,uuid:53cbd682-6e8d-4bff-9a63-2c7038a35b05,uuid:53cbd682-6e8d-4bff-9a63-2c7038a35b05/module_d-module_d1[2],uuid:53cbd682-6e8d-4bff-9a63-2c7038a35b05/module_d-module_d1
3,3,Power Tiller Operated Seeder - 2 wheeler,1,1,1,1,2012,,,,,,,,,,,,,2005,uuid:53cbd682-6e8d-4bff-9a63-2c7038a35b05,uuid:53cbd682-6e8d-4bff-9a63-2c7038a35b05/module_d-module_d1[3],uuid:53cbd682-6e8d-4bff-9a63-2c7038a35b05/module_d-module_d1
4,4,Power Tiller Operated Seeder - 4 wheeler,0,,,,,,,,,,,,,,,,,,uuid:53cbd682-6e8d-4bff-9a63-2c7038a35b05,uuid:53cbd682-6e8d-4bff-9a63-2c7038a35b05/module_d-module_d1[4],uuid:53cbd682-6e8d-4bff-9a63-2c7038a35b05/module_d-module_d1
5,5,Combine Harvester/Thresher,0,,,,,,,,,,,,,,,,,,uuid:53cbd682-6e8d-4bff-9a63-2c7038a35b05,uuid:53cbd682-6e8d-4bff-9a63-2c7038a35b05/module_d-module_d1[5],uuid:53cbd682-6e8d-4bff-9a63-2c7038a35b05/module_d-module_d1
6,6,Two wheeled mechanical Reaper for Rice/Wheat/Jute,0,,,,,,,,,,,,,,,,,,uuid:53cbd682-6e8d-4bff-9a63-2c7038a35b05,uuid:53cbd682-6e8d-4bff-9a63-2c7038a35b05/module_d-module_d1[6],uuid:53cbd682-6e8d-4bff-9a63-2c7038a35b05/module_d-module_d1
1,1,Axial Flow Pump,1,0,,0,,,,,,,,,,,,,,1985,uuid:86449edd-a0c2-4de7-bd60-f52539648150,uuid:86449edd-a0c2-4de7-bd60-f52539648150/module_d-module_d1[1],uuid:86449edd-a0c2-4de7-bd60-f52539648150/module_d-module_d1
2,2,Alternate Wetting and Drying (ম্যাজিক পাইপ),0,,,,,,,,,,,,,,,,,,uuid:86449edd-a0c2-4de7-bd60-f52539648150,uuid:86449edd-a0c2-4de7-bd60-f52539648150/module_d-module_d1[2],uuid:86449edd-a0c2-4de7-bd60-f52539648150/module_d-module_d1
3,3,Power Tiller Operated Seeder - 2 wheeler,1,1,0,1,2017,,,,,,,,,,,,,2004,uuid:86449edd-a0c2-4de7-bd60-f52539648150,uuid:86449edd-a0c2-4de7-bd60-f52539648150/module_d-module_d1[3],uuid:86449edd-a0c2-4de7-bd60-f52539648150/module_d-module_d1
4,4,Power Tiller Operated Seeder - 4 wheeler,1,0,,0,,,,,,,,,,,,,,2015,uuid:86449edd-a0c2-4de7-bd60-f52539648150,uuid:86449edd-a0c2-4de7-bd60-f52539648150/module_d-module_d1[4],uuid:86449edd-a0c2-4de7-bd60-f52539648150/module_d-module_d1
5,5,Combine Harvester/Thresher,1,1,0,1,2022,,,,,,,,,,,,,1995,uuid:86449edd-a0c2-4de7-bd60-f52539648150,uuid:86449edd-a0c2-4de7-bd60-f52539648150/module_d-module_d1[5],uuid:86449edd-a0c2-4de7-bd60-f52539648150/module_d-module_d1
6,6,Two wheeled mechanical Reaper for Rice/Wheat/Jute,0,,,,,,,,,,,,,,,,,,uuid:86449edd-a0c2-4de7-bd60-f52539648150,uuid:86449edd-a0c2-4de7-bd60-f52539648150/module_d-module_d1[6],uuid:86449edd-a0c2-4de7-bd60-f52539648150/module_d-module_d1
1,1,Axial Flow Pump,0,,,,,,,,,,,,,,,,,,uuid:25a9fdd0-d7e7-49b0-9d4b-108a6ad127a1,uuid:25a9fdd0-d7e7-49b0-9d4b-108a6ad127a1/module_d-module_d1[1],uuid:25a9fdd0-d7e7-49b0-9d4b-108a6ad127a1/module_d-module_d1
2,2,Alternate Wetting and Drying (ম্যাজিক পাইপ),0,,,,,,,,,,,,,,,,,,uuid:25a9fdd0-d7e7-49b0-9d4b-108a6ad127a1,uuid:25a9fdd0-d7e7-49b0-9d4b-108a6ad127a1/module_d-module_d1[2],uuid:25a9fdd0-d7e7-49b0-9d4b-108a6ad127a1/module_d-module_d1
3,3,Power Tiller Operated Seeder - 2 wheeler,1,1,0,1,2000,,,,,,,,,,,,,1995,uuid:25a9fdd0-d7e7-49b0-9d4b-108a6ad127a1,uuid:25a9fdd0-d7e7-49b0-9d4b-108a6ad127a1/module_d-module_d1[3],uuid:25a9fdd0-d7e7-49b0-9d4b-108a6ad127a1/module_d-module_d1
4,4,Power Tiller Operated Seeder - 4 wheeler,0,,,,,,,,,,,,,,,,,,uuid:25a9fdd0-d7e7-49b0-9d4b-108a6ad127a1,uuid:25a9fdd0-d7e7-49b0-9d4b-108a6ad127a1/module_d-module_d1[4],uuid:25a9fdd0-d7e7-49b0-9d4b-108a6ad127a1/module_d-module_d1
5,5,Combine Harvester/Thresher,1,0,,0,,,,,,,,,,,,,,2015,uuid:25a9fdd0-d7e7-49b0-9d4b-108a6ad127a1,uuid:25a9fdd0-d7e7-49b0-9d4b-108a6ad127a1/module_d-module_d1[5],uuid:25a9fdd0-d7e7-49b0-9d4b-108a6ad127a1/module_d-module_d1
6,6,Two wheeled mechanical Reaper for Rice/Wheat/Jute,0,,,,,,,,,,,,,,,,,,uuid:25a9fdd0-d7e7-49b0-9d4b-108a6ad127a1,uuid:25a9fdd0-d7e7-49b0-9d4b-108a6ad127a1/module_d-module_d1[6],uuid:25a9fdd0-d7e7-49b0-9d4b-108a6ad127a1/module_d-module_d1
1,1,Axial Flow Pump,0,,,,,,,,,,,,,,,,,,uuid:44db6fd1-d4ec-4c2c-9927-9daebd741aa5,uuid:44db6fd1-d4ec-4c2c-9927-9daebd741aa5/module_d-module_d1[1],uuid:44db6fd1-d4ec-4c2c-9927-9daebd741aa5/module_d-module_d1
2,2,Alternate Wetting and Drying (ম্যাজিক পাইপ),0,,,,,,,,,,,,,,,,,,uuid:44db6fd1-d4ec-4c2c-9927-9daebd741aa5,uuid:44db6fd1-d4ec-4c2c-9927-9daebd741aa5/module_d-module_d1[2],uuid:44db6fd1-d4ec-4c2c-9927-9daebd741aa5/module_d-module_d1
3,3,Power Tiller Operated Seeder - 2 wheeler,1,1,0,1,2000,,,,,,,,,,,,,2000,uuid:44db6fd1-d4ec-4c2c-9927-9daebd741aa5,uuid:44db6fd1-d4ec-4c2c-9927-9daebd741aa5/module_d-module_d1[3],uuid:44db6fd1-d4ec-4c2c-9927-9daebd741aa5/module_d-module_d1
4,4,Power Tiller Operated Seeder - 4 wheeler,0,,,,,,,,,,,,,,,,,,uuid:44db6fd1-d4ec-4c2c-9927-9daebd741aa5,uuid:44db6fd1-d4ec-4c2c-9927-9daebd741aa5/module_d-module_d1[4],uuid:44db6fd1-d4ec-4c2c-9927-9daebd741aa5/module_d-module_d1
5,5,Combine Harvester/Thresher,1,0,,0,,,,,,,,,,,,,,2000,uuid:44db6fd1-d4ec-4c2c-9927-9daebd741aa5,uuid:44db6fd1-d4ec-4c2c-9927-9daebd741aa5/module_d-module_d1[5],uuid:44db6fd1-d4ec-4c2c-9927-9daebd741aa5/module_d-module_d1
6,6,Two wheeled mechanical Reaper for Rice/Wheat/Jute,0,,,,,,,,,,,,,,,,,,uuid:44db6fd1-d4ec-4c2c-9927-9daebd741aa5,uuid:44db6fd1-d4ec-4c2c-9927-9daebd741aa5/module_d-module_d1[6],uuid:44db6fd1-d4ec-4c2c-9927-9daebd741aa5/module_d-module_d1
1,1,Axial Flow Pump,0,,,,,,,,,,,,,,,,,,uuid:9d3f6af1-f197-4d27-8a03-692c9a440b51,uuid:9d3f6af1-f197-4d27-8a03-692c9a440b51/module_d-module_d1[1],uuid:9d3f6af1-f197-4d27-8a03-692c9a440b51/module_d-module_d1
2,2,Alternate Wetting and Drying (ম্যাজিক পাইপ),0,,,,,,,,,,,,,,,,,,uuid:9d3f6af1-f197-4d27-8a03-692c9a440b51,uuid:9d3f6af1-f197-4d27-8a03-692c9a440b51/module_d-module_d1[2],uuid:9d3f6af1-f197-4d27-8a03-692c9a440b51/module_d-module_d1
3,3,Power Tiller Operated Seeder - 2 wheeler,1,1,0,1,2014,,,,,,,,,,,,,1970,uuid:9d3f6af1-f197-4d27-8a03-692c9a440b51,uuid:9d3f6af1-f197-4d27-8a03-692c9a440b51/module_d-module_d1[3],uuid:9d3f6af1-f197-4d27-8a03-692c9a440b51/module_d-module_d1
4,4,Power Tiller Operated Seeder - 4 wheeler,1,0,,1,2023,2023,1 10,1,0,0,0,0,0,0,0,0,1,2000,uuid:9d3f6af1-f197-4d27-8a03-692c9a440b51,uuid:9d3f6af1-f197-4d27-8a03-692c9a440b51/module_d-module_d1[4],uuid:9d3f6af1-f197-4d27-8a03-692c9a440b51/module_d-module_d1
5,5,Combine Harvester/Thresher,1,0,,1,2022,2022,1,1,0,0,0,0,0,0,0,0,0,2020,uuid:9d3f6af1-f197-4d27-8a03-692c9a440b51,uuid:9d3f6af1-f197-4d27-8a03-692c9a440b51/module_d-module_d1[5],uuid:9d3f6af1-f197-4d27-8a03-692c9a440b51/module_d-module_d1
6,6,Two wheeled mechanical Reaper for Rice/Wheat/Jute,0,,,,,,,,,,,,,,,,,,uuid:9d3f6af1-f197-4d27-8a03-692c9a440b51,uuid:9d3f6af1-f197-4d27-8a03-692c9a440b51/module_d-module_d1[6],uuid:9d3f6af1-f197-4d27-8a03-692c9a440b51/module_d-module_d1
1,1,Axial Flow Pump,0,,,,,,,,,,,,,,,,,,uuid:82afc004-1d5d-4d26-84a9-de0824b1733e,uuid:82afc004-1d5d-4d26-84a9-de0824b1733e/module_d-module_d1[1],uuid:82afc004-1d5d-4d26-84a9-de0824b1733e/module_d-module_d1
