e1fish_index,e1fish_id,e1fish_name,e1fish_lastyear,e1fish_startyear,e1monoculture,e1fish_everyyear,e1fish_gap,e1fingerling_lastyear,e1pond_type,e1pond_type_oth,e1pond_size,e1pond_depth,e1pond_source,e1pond_source_oth,e1integrated_agri,e1integrated_now,e1purchase_finger_time,e1source_fingerling,e1source_fingerling_1,e1source_fingerling_2,e1source_fingerling_3,e1source_fingerling_4,e1source_fingerling_5,e1source_fingerling_6,e1source_fingerling_7,e1source_fingerling_8,e1source_fingerling_9,e1source_fingerling__96,e1source_fingerling_oth,e1know_hatchery,e1hatchery_village,e1distance_hatchery,e1hatchery_address,e1know_num,e1hatchery_phone,e1hatchery_year,e1strain_tilapia,e1strain_tilapia_oth,e1strain_rohu,e1strain_rohu_oth,e1gift_tilapia,e1g3_rohu,e1fish_amount,e1fish_monosex,e1totprice_fingerling,e1harvest_month,e1fish_sales,e1fish_sales_oth,PARENT_KEY,KEY,SET-OF-module_e1_4
1,1,Tilapia,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:092159ab-0fd4-4a0c-b6a4-b4774a8e4de3/module_er[1],uuid:092159ab-0fd4-4a0c-b6a4-b4774a8e4de3/module_er[1]/module_e1_4[1],uuid:092159ab-0fd4-4a0c-b6a4-b4774a8e4de3/module_er[1]/module_e1_4
2,2,Rohu (Rui),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:092159ab-0fd4-4a0c-b6a4-b4774a8e4de3/module_er[1],uuid:092159ab-0fd4-4a0c-b6a4-b4774a8e4de3/module_er[1]/module_e1_4[2],uuid:092159ab-0fd4-4a0c-b6a4-b4774a8e4de3/module_er[1]/module_e1_4
1,1,Tilapia,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:c678afe7-8bb8-42f6-a914-c9082a571ec9/module_er[1],uuid:c678afe7-8bb8-42f6-a914-c9082a571ec9/module_er[1]/module_e1_4[1],uuid:c678afe7-8bb8-42f6-a914-c9082a571ec9/module_er[1]/module_e1_4
2,2,Rohu (Rui),1,2023,1,1,,1,1,,100,10,1,,0,,1/1/2023,2,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,1,,,1,20,,5000,12/1/2023,5,,uuid:c678afe7-8bb8-42f6-a914-c9082a571ec9/module_er[1],uuid:c678afe7-8bb8-42f6-a914-c9082a571ec9/module_er[1]/module_e1_4[2],uuid:c678afe7-8bb8-42f6-a914-c9082a571ec9/module_er[1]/module_e1_4
1,1,Tilapia,1,1999,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:2f0ed677-2255-4ea3-821b-54b91a76b914/module_er[1],uuid:2f0ed677-2255-4ea3-821b-54b91a76b914/module_er[1]/module_e1_4[1],uuid:2f0ed677-2255-4ea3-821b-54b91a76b914/module_er[1]/module_e1_4
2,2,Rohu (Rui),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:2f0ed677-2255-4ea3-821b-54b91a76b914/module_er[1],uuid:2f0ed677-2255-4ea3-821b-54b91a76b914/module_er[1]/module_e1_4[2],uuid:2f0ed677-2255-4ea3-821b-54b91a76b914/module_er[1]/module_e1_4
1,1,Tilapia,1,2004,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:a6f024c1-368d-4d20-b8b4-dbfc9956a839/module_er[1],uuid:a6f024c1-368d-4d20-b8b4-dbfc9956a839/module_er[1]/module_e1_4[1],uuid:a6f024c1-368d-4d20-b8b4-dbfc9956a839/module_er[1]/module_e1_4
2,2,Rohu (Rui),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:a6f024c1-368d-4d20-b8b4-dbfc9956a839/module_er[1],uuid:a6f024c1-368d-4d20-b8b4-dbfc9956a839/module_er[1]/module_e1_4[2],uuid:a6f024c1-368d-4d20-b8b4-dbfc9956a839/module_er[1]/module_e1_4
1,1,Tilapia,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:18f7e954-d5d9-4cd5-81a3-9017f02e6a84/module_er[1],uuid:18f7e954-d5d9-4cd5-81a3-9017f02e6a84/module_er[1]/module_e1_4[1],uuid:18f7e954-d5d9-4cd5-81a3-9017f02e6a84/module_er[1]/module_e1_4
2,2,Rohu (Rui),1,2016,0,1,,1,1,,33,5,1,,0,,11/1/2021,2,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,-96,Jater nam janena,,0,20,,5333,1/1/2024,5,,uuid:18f7e954-d5d9-4cd5-81a3-9017f02e6a84/module_er[1],uuid:18f7e954-d5d9-4cd5-81a3-9017f02e6a84/module_er[1]/module_e1_4[2],uuid:18f7e954-d5d9-4cd5-81a3-9017f02e6a84/module_er[1]/module_e1_4
