e1pond_id,e1plot_type,e1landname_size,fish_list,fish_name,module_e1_4_count,SET-OF-module_e1_4,e5farm_startyear,e5fish_species,e5fish_species_1,e5fish_species_2,e5fish_species_3,e5fish_species_4,e5fish_species_5,e5fish_species_6,e5fish_species_7,e5fish_species_8,e5fish_species_9,e5fish_species_10,e5fish_species_11,e5fish_species_12,e5fish_species_13,e5fish_species_14,e5fish_species_15,e5fish_species_16,e5fish_species_17,e5fish_species_18,e5fish_species_19,e5fish_species_20,e5fish_species_21,e5fish_species_22,e5fish_species_23,e5fish_species_24,e5fish_species_25,e5fish_species_26,e5fish_species_oth_l,e5fish_species_oth_s,e5fish_alternative,e5fish_alternative_1,e5fish_alternative_2,e5fish_alternative_3,e5fish_alternative_4,e5fish_alternative_5,e5fish_alternative_6,e5fish_alternative_7,e5shift_fishing,e5carp_small_fish,e5tilapia_clean,e5fam_lab_days,e5_hired_lab_days,e5_daily_wage,e5fingerling_cost,e5fishfeed_cost,e5other_cost,e5n_harvest,e5tot_harvest,e5lost_harvest,e5reason_lost,e5reason_lost_1,e5reason_lost_2,e5reason_lost_3,e5reason_lost_4,e5reason_lost__96,e5reason_lost_oth,PARENT_KEY,KEY,SET-OF-module_er
7,8,Pukur,1 2,"Tilapia, Rohu (Rui)",2,uuid:092159ab-0fd4-4a0c-b6a4-b4774a8e4de3/module_er[1]/module_e1_4,2015,7 26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,1,0,5,5,1200,0,0,0,2,23,0,,,,,,,,uuid:092159ab-0fd4-4a0c-b6a4-b4774a8e4de3,uuid:092159ab-0fd4-4a0c-b6a4-b4774a8e4de3/module_er[1],uuid:092159ab-0fd4-4a0c-b6a4-b4774a8e4de3/module_er
11,8,Choto monhordi,1 2,"Tilapia, Rohu (Rui)",2,uuid:c678afe7-8bb8-42f6-a914-c9082a571ec9/module_er[1]/module_e1_4,2023,5 6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,60,0,3000,8000,8000,4000,1,30,0,,,,,,,,uuid:c678afe7-8bb8-42f6-a914-c9082a571ec9,uuid:c678afe7-8bb8-42f6-a914-c9082a571ec9/module_er[1],uuid:c678afe7-8bb8-42f6-a914-c9082a571ec9/module_er
3,8,Pukur,1 2,"Tilapia, Rohu (Rui)",2,uuid:2f0ed677-2255-4ea3-821b-54b91a76b914/module_er[1]/module_e1_4,1999,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,7,0,350,0,0,0,150,0.4,0,,,,,,,,uuid:2f0ed677-2255-4ea3-821b-54b91a76b914,uuid:2f0ed677-2255-4ea3-821b-54b91a76b914/module_er[1],uuid:2f0ed677-2255-4ea3-821b-54b91a76b914/module_er
2,8,Pukur,1 2,"Tilapia, Rohu (Rui)",2,uuid:a6f024c1-368d-4d20-b8b4-dbfc9956a839/module_er[1]/module_e1_4,2004,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,20,20,1000,1500,0,0,104,62.4,0,,,,,,,,uuid:a6f024c1-368d-4d20-b8b4-dbfc9956a839,uuid:a6f024c1-368d-4d20-b8b4-dbfc9956a839/module_er[1],uuid:a6f024c1-368d-4d20-b8b4-dbfc9956a839/module_er
6,8,Pukur,1 2,"Tilapia, Rohu (Rui)",2,uuid:18f7e954-d5d9-4cd5-81a3-9017f02e6a84/module_er[1]/module_e1_4,2016,5 6 7 8,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,10,0,1000,16000,5400,1000,1,20,0,,,,,,,,uuid:18f7e954-d5d9-4cd5-81a3-9017f02e6a84,uuid:18f7e954-d5d9-4cd5-81a3-9017f02e6a84/module_er[1],uuid:18f7e954-d5d9-4cd5-81a3-9017f02e6a84/module_er
3,2,Kofer khat,1 2,"Tilapia, Rohu (Rui)",2,uuid:29fee3e7-c7b4-41c6-a045-329c47ff24e7/module_er[1]/module_e1_4,2010,1 6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,0,0,0,0,4,,0,60,0,0,8000,3000,0,1,80,80,1,1,0,0,0,0,,uuid:29fee3e7-c7b4-41c6-a045-329c47ff24e7,uuid:29fee3e7-c7b4-41c6-a045-329c47ff24e7/module_er[1],uuid:29fee3e7-c7b4-41c6-a045-329c47ff24e7/module_er
5,8,Pukur,1 2,"Tilapia, Rohu (Rui)",2,uuid:29fee3e7-c7b4-41c6-a045-329c47ff24e7/module_er[2]/module_e1_4,2019,1 5 6,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1,0,30,0,0,220,3000,0,0,0,0,,,,,,,,uuid:29fee3e7-c7b4-41c6-a045-329c47ff24e7,uuid:29fee3e7-c7b4-41c6-a045-329c47ff24e7/module_er[2],uuid:29fee3e7-c7b4-41c6-a045-329c47ff24e7/module_er
2,8,Pukur,1 2,"Tilapia, Rohu (Rui)",2,uuid:20c574a3-fdae-4d26-afa4-7412a3ce11b5/module_er[1]/module_e1_4,2004,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Vetki mas,,,,,,,,,,,0,1,244,24,14000,7300,500,2000,121,240,0,,,,,,,,uuid:20c574a3-fdae-4d26-afa4-7412a3ce11b5,uuid:20c574a3-fdae-4d26-afa4-7412a3ce11b5/module_er[1],uuid:20c574a3-fdae-4d26-afa4-7412a3ce11b5/module_er
3,8,Pukur,1 2,"Tilapia, Rohu (Rui)",2,uuid:7267e5a2-807b-4587-b9cd-da0556443bc5/module_er[1]/module_e1_4,1994,1 6 7,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1,0,2,0,100,500,0,200,1,1,0,,,,,,,,uuid:7267e5a2-807b-4587-b9cd-da0556443bc5,uuid:7267e5a2-807b-4587-b9cd-da0556443bc5/module_er[1],uuid:7267e5a2-807b-4587-b9cd-da0556443bc5/module_er
2,8,Pukur,1 2,"Tilapia, Rohu (Rui)",2,uuid:eb399d56-7dda-405a-af00-98f3f038b2cb/module_er[1]/module_e1_4,2021,6 10 24,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,0,1,0,3,400,0,1500,0,0,0,0,,,,,,,,uuid:eb399d56-7dda-405a-af00-98f3f038b2cb,uuid:eb399d56-7dda-405a-af00-98f3f038b2cb/module_er[1],uuid:eb399d56-7dda-405a-af00-98f3f038b2cb/module_er
